date,time,total_games,wins,draws,avg_time
14/07/2020,18:22,0,0,0,0
14/07/2020,18:52,100,0,0,12.8
14/07/2020,19:14,200,0,0,13.2
14/07/2020,19:34,300,0,0,12.3
14/07/2020,19:56,400,0,0,13.2
14/07/2020,20:19,500,0,0,13.5
14/07/2020,20:40,600,0,0,12.6
14/07/2020,21:01,700,0,0,12.3
14/07/2020,21:23,800,0,0,13.5
14/07/2020,21:46,900,0,0,13.5
14/07/2020,22:07,1000,0,0,12.9
14/07/2020,22:29,1100,0,0,13.4
14/07/2020,22:51,1200,0,0,13.1
14/07/2020,23:11,1300,0,0,11.5
14/07/2020,23:32,1400,0,0,12.8
14/07/2020,23:53,1500,0,0,12.9
15/07/2020,00:13,1600,0,0,11.9
15/07/2020,00:34,1700,0,0,12.3
15/07/2020,00:54,1800,0,0,12.2
15/07/2020,01:17,1900,0,0,13.6
15/07/2020,01:38,2000,0,0,12.7
15/07/2020,02:00,2100,0,0,13.5
15/07/2020,02:21,2200,0,0,12.7
15/07/2020,02:43,2300,0,0,12.8
15/07/2020,03:03,2400,0,0,12.4
15/07/2020,03:25,2500,0,1,13.0
15/07/2020,03:46,2600,0,0,12.7
15/07/2020,04:08,2700,0,0,13.3
15/07/2020,04:31,2800,0,0,13.6
15/07/2020,04:52,2900,0,0,12.4
15/07/2020,05:13,3000,0,0,12.5
15/07/2020,05:34,3100,0,0,12.7
15/07/2020,05:55,3200,0,0,12.6
15/07/2020,06:17,3300,0,0,13.4
15/07/2020,06:37,3400,0,0,11.9
15/07/2020,06:59,3500,1,0,12.9
15/07/2020,07:20,3600,0,0,12.8
15/07/2020,07:39,3700,0,0,11.4
15/07/2020,07:59,3800,3,0,12.3
15/07/2020,08:21,3900,0,0,13.1
15/07/2020,08:41,4000,0,0,11.8
15/07/2020,09:02,4100,0,0,12.5
15/07/2020,09:24,4200,0,0,13.0
15/07/2020,09:45,4300,0,0,12.9
15/07/2020,10:05,4400,0,0,12.2
15/07/2020,10:27,4500,0,0,13.0
15/07/2020,10:47,4600,0,0,12.0
15/07/2020,11:08,4700,1,0,12.7
15/07/2020,11:29,4800,5,0,12.2
15/07/2020,11:50,4900,5,0,12.8
15/07/2020,12:10,5000,0,0,11.9
15/07/2020,12:30,5100,1,0,11.9
15/07/2020,12:51,5200,0,0,13.0
15/07/2020,13:12,5300,2,0,12.4
15/07/2020,13:32,5400,7,0,12.2
15/07/2020,13:54,5500,1,0,13.2
15/07/2020,14:15,5600,0,0,12.4
15/07/2020,14:34,5700,2,0,11.8
15/07/2020,14:56,5800,1,0,13.0
15/07/2020,15:17,5900,1,0,12.4
15/07/2020,15:37,6000,0,0,12.4
15/07/2020,15:57,6100,1,0,11.8
15/07/2020,16:19,6200,1,0,13.2
15/07/2020,16:41,6300,3,0,13.2
15/07/2020,17:03,6400,1,0,12.9
15/07/2020,17:23,6500,2,0,12.1
15/07/2020,17:44,6600,1,0,12.8
15/07/2020,18:05,6700,3,0,12.5
15/07/2020,18:27,6800,1,0,13.5
15/07/2020,18:48,6900,2,0,12.6
15/07/2020,19:09,7000,2,0,12.5
15/07/2020,19:30,7100,0,0,12.5
15/07/2020,19:50,7200,0,0,11.8
15/07/2020,20:11,7300,2,0,12.4
15/07/2020,20:31,7400,2,0,12.1
15/07/2020,20:50,7500,1,0,11.8
15/07/2020,21:12,7600,1,0,12.9
15/07/2020,21:32,7700,4,0,12.4
15/07/2020,21:53,7800,2,0,12.1
15/07/2020,22:13,7900,1,0,11.9
15/07/2020,22:35,8000,2,0,13.3
15/07/2020,22:55,8100,0,0,12.1
15/07/2020,23:16,8200,3,0,12.9
15/07/2020,23:43,8300,1,0,15.7
16/07/2020,00:04,8400,1,0,12.9
16/07/2020,00:24,8500,4,0,11.7
16/07/2020,00:44,8600,3,0,12.3
16/07/2020,01:05,8700,2,0,12.5
16/07/2020,01:27,8800,2,0,13.3
16/07/2020,01:47,8900,1,0,12.2
16/07/2020,02:09,9000,1,0,13.2
16/07/2020,02:31,9100,3,0,12.9
16/07/2020,02:51,9200,2,1,12.3
16/07/2020,03:12,9300,1,0,12.3
16/07/2020,03:33,9400,3,0,12.7
16/07/2020,03:55,9500,1,0,13.2
16/07/2020,04:17,9600,0,0,13.1
